message_id,conversation_id,topic,timestamp,labeler_id,confidence
36516,0,Spam Messages,20250114000000,llama3.3:70b,1.0
36517,1,Crypto Discussion,20250114000542,llama3.3:70b,1.0
36518,0,Spam Messages,20250114015542,llama3.3:70b,1.0
36519,1,Crypto Discussion,20250114020000,llama3.3:70b,1.0
36520,0,Spam Messages,20250114020500,llama3.3:70b,1.0
36521,2,Token Giveaway,20250114021026,llama3.3:70b,1.0
36522,0,Spam Messages,20250114021538,llama3.3:70b,1.0
36523,3,Bot Promotion,20250114022000,llama3.3:70b,1.0
36524,0,Spam Messages,20250114022238,llama3.3:70b,1.0
36525,4,Wheel Robot,20250114023026,llama3.3:70b,1.0
36573,0,Spam Messages,20250114015542,llama3.3:70b,1.0
36574,0,Spam Messages,20250114020549,llama3.3:70b,1.0
36575,0,Spam Messages,20250114022238,llama3.3:70b,1.0
36576,4,Wheel Robot,20250114023026,llama3.3:70b,1.0
36516,0,Spam Messages,20250114000000,llama3.3:70b,1.0
36517,1,Crypto Discussion,20250114000542,llama3.3:70b,1.0
36518,0,Spam Messages,20250114015542,llama3.3:70b,1.0
36519,1,Crypto Discussion,20250114020000,llama3.3:70b,1.0
36520,0,Spam Messages,20250114020500,llama3.3:70b,1.0
36521,2,Token Giveaway,20250114021026,llama3.3:70b,1.0
36522,0,Spam Messages,20250114021538,llama3.3:70b,1.0
36523,3,Bot Promotion,20250114022000,llama3.3:70b,1.0
36524,0,Spam Messages,20250114022238,llama3.3:70b,1.0
36525,4,Wheel Robot,20250114023026,llama3.3:70b,1.0
36516,0,Spam Messages,20250114000000,llama3.3:70b,1.0
36517,1,Crypto Discussion,20250114000542,llama3.3:70b,1.0
36518,0,Spam Messages,20250114015542,llama3.3:70b,1.0
36519,1,Crypto Discussion,20250114020000,llama3.3:70b,1.0
36520,0,Spam Messages,20250114020500,llama3.3:70b,1.0
36521,2,Token Giveaway,20250114021026,llama3.3:70b,1.0
36522,0,Spam Messages,20250114021538,llama3.3:70b,1.0
36523,3,Bot Promotion,20250114022000,llama3.3:70b,1.0
36524,0,Spam Messages,20250114022238,llama3.3:70b,1.0
36525,4,Wheel Robot,20250114023026,llama3.3:70b,1.0
36516,0,Spam Messages,20250114000000,llama3.3:70b,1.0
36517,1,Crypto Discussion,20250114000542,llama3.3:70b,1.0
36518,0,Spam Messages,20250114015542,llama3.3:70b,1.0
36519,1,Crypto Discussion,20250114020000,llama3.3:70b,1.0
36520,0,Spam Messages,20250114020500,llama3.3:70b,1.0
36521,2,Token Giveaway,20250114021026,llama3.3:70b,1.0
36522,0,Spam Messages,20250114021538,llama3.3:70b,1.0
36523,3,Bot Promotion,20250114022000,llama3.3:70b,1.0
36524,0,Spam Messages,20250114022238,llama3.3:70b,1.0
36525,4,Wheel Robot,20250114023026,llama3.3:70b,1.0
36573,0,Spam Messages,20250114015542,llama3.3:70b,1.0
36574,0,Spam Messages,20250114020549,llama3.3:70b,1.0
36575,0,Spam Messages,20250114022238,llama3.3:70b,1.0
36576,4,Wheel Robot,20250114023026,llama3.3:70b,1.0
36516,0,Spam Messages,20250114000000,llama3.3:70b,1.0
36517,1,Crypto Discussion,20250114000542,llama3.3:70b,1.0
36518,0,Spam Messages,20250114015542,llama3.3:70b,1.0
36519,1,Crypto Discussion,20250114020000,llama3.3:70b,1.0
36520,0,Spam Messages,20250114020500,llama3.3:70b,1.0
36521,2,Token Giveaway,20250114021026,llama3.3:70b,1.0
36522,0,Spam Messages,20250114021538,llama3.3:70b,1.0
36523,3,Bot Promotion,20250114022000,llama3.3:70b,1.0
36524,0,Spam Messages,20250114022238,llama3.3:70b,1.0
36525,4,Wheel Robot,20250114023026,llama3.3:70b,1.0
36573,0,Spam Messages,20250114015542,llama3.3:70b,1.0
36574,0,Spam Messages,20250114020549,llama3.3:70b,1.0
36575,0,Spam Messages,20250114022238,llama3.3:70b,1.0
36576,4,Wheel Robot,20250114023026,llama3.3:70b,1.0
36516,0,Spam Messages,20250114000000,llama3.3:70b,1.0
36517,1,Crypto Discussion,20250114000542,llama3.3:70b,1.0
36518,0,Spam Messages,20250114015542,llama3.3:70b,1.0
36519,1,Crypto Discussion,20250114020000,llama3.3:70b,1.0
36520,0,Spam Messages,20250114020500,llama3.3:70b,1.0
36521,2,Token Giveaway,20250114021026,llama3.3:70b,1.0
36522,0,Spam Messages,20250114021538,llama3.3:70b,1.0
36523,3,Bot Promotion,20250114022000,llama3.3:70b,1.0
36524,0,Spam Messages,20250114022238,llama3.3:70b,1.0
36525,4,Wheel Robot,20250114023026,llama3.3:70b,1.0
36573,0,Spam Messages,20250114015542,llama3.3:70b,1.0
36574,0,Spam Messages,20250114020549,llama3.3:70b,1.0
36575,0,Spam Messages,20250114022238,llama3.3:70b,1.0
36576,4,Wheel Robot,20250114023026,llama3.3:70b,1.0
36578,0,Spam Messages,20250114051733,llama3.3:70b,1.0
36580,0,Spam Messages,20250114064659,llama3.3:70b,1.0
36582,1,Cryptocurrency Market Trends,20250114092102,llama3.3:70b,1.0
36583,1,Cryptocurrency Market Trends,20250114093558,llama3.3:70b,1.0
36587,1,Cryptocurrency Market Trends,20250114094036,llama3.3:70b,1.0
36588,1,Cryptocurrency Market Trends,20250114094206,llama3.3:70b,1.0
36589,1,Cryptocurrency Market Trends,20250114100349,llama3.3:70b,1.0
36590,2,Greeting,20250114101101,llama3.3:70b,1.0
36592,1,Cryptocurrency Market Trends,20250114112840,llama3.3:70b,1.0
