message_id,conversation_id,topic,timestamp,labeler_id,confidence
36573,0,Spam Messages,20250114015542,llama3.3,1.0
36572,0,Spam Messages,20250114015541,llama3.3,1.0
36574,0,Spam Messages,20250114020549,llama3.3,1.0
36575,0,Spam Messages,20250114022238,llama3.3,1.0
36576,0,Spam Messages,20250114023026,llama3.3,1.0
36571,0,Spam Messages,20250114015540,llama3.3,1.0
36570,0,Spam Messages,20250114015539,llama3.3,1.0
36569,0,Spam Messages,20250114015538,llama3.3,1.0
36568,0,Spam Messages,20250114015537,llama3.3,1.0
36567,0,Spam Messages,20250114015536,llama3.3,1.0
36566,0,Spam Messages,20250114015535,llama3.3,1.0
36565,0,Spam Messages,20250114015534,llama3.3,1.0
36564,0,Spam Messages,20250114015533,llama3.3,1.0
36563,0,Spam Messages,20250114015532,llama3.3,1.0
36562,0,Spam Messages,20250114015531,llama3.3,1.0
36561,0,Spam Messages,20250114015530,llama3.3,1.0
36560,0,Spam Messages,20250114015529,llama3.3,1.0
36559,0,Spam Messages,20250114015528,llama3.3,1.0
36558,0,Spam Messages,20250114015527,llama3.3,1.0
36557,0,Spam Messages,20250114015526,llama3.3,1.0
36556,0,Spam Messages,20250114015525,llama3.3,1.0
36555,0,Spam Messages,20250114015524,llama3.3,1.0
36554,0,Spam Messages,20250114015523,llama3.3,1.0
36553,0,Spam Messages,20250114015522,llama3.3,1.0
36552,0,Spam Messages,20250114015521,llama3.3,1.0
36551,0,Spam Messages,20250114015520,llama3.3,1.0
36550,0,Spam Messages,20250114015519,llama3.3,1.0
36549,0,Spam Messages,20250114015518,llama3.3,1.0
36548,0,Spam Messages,20250114015517,llama3.3,1.0
36547,0,Spam Messages,20250114015516,llama3.3,1.0
36546,0,Spam Messages,20250114015515,llama3.3,1.0
36545,0,Spam Messages,20250114015514,llama3.3,1.0
36544,0,Spam Messages,20250114015513,llama3.3,1.0
36543,0,Spam Messages,20250114015512,llama3.3,1.0
36542,0,Spam Messages,20250114015511,llama3.3,1.0
36541,0,Spam Messages,20250114015510,llama3.3,1.0
36540,0,Spam Messages,20250114015509,llama3.3,1.0
36539,0,Spam Messages,20250114015508,llama3.3,1.0
36538,0,Spam Messages,20250114015507,llama3.3,1.0
36537,0,Spam Messages,20250114015506,llama3.3,1.0
36536,0,Spam Messages,20250114015505,llama3.3,1.0
36535,0,Spam Messages,20250114015504,llama3.3,1.0
36534,0,Spam Messages,20250114015503,llama3.3,1.0
36533,0,Spam Messages,20250114015502,llama3.3,1.0
36532,0,Spam Messages,20250114015501,llama3.3,1.0
36531,0,Spam Messages,20250114015500,llama3.3,1.0
36530,0,Spam Messages,20250114015459,llama3.3,1.0
36529,0,Spam Messages,20250114015458,llama3.3,1.0
36528,0,Spam Messages,20250114015457,llama3.3,1.0
36527,0,Spam Messages,20250114015456,llama3.3,1.0
36526,0,Spam Messages,20250114015455,llama3.3,1.0
36525,0,Spam Messages,20250114015454,llama3.3,1.0
36524,0,Spam Messages,20250114015453,llama3.3,1.0
36523,0,Spam Messages,20250114015452,llama3.3,1.0
36522,0,Spam Messages,20250114015451,llama3.3,1.0
36521,0,Spam Messages,20250114015450,llama3.3,1.0
36520,0,Spam Messages,20250114015449,llama3.3,1.0
36519,0,Spam Messages,20250114015448,llama3.3,1.0
36518,0,Spam Messages,20250114015447,llama3.3,1.0
36517,0,Spam Messages,20250114015446,llama3.3,1.0
36516,0,Spam Messages,20250114015445,llama3.3,1.0
36515,0,Spam Messages,20250114015444,llama3.3,1.0
36514,0,Spam Messages,20250114015443,llama3.3,1.0
36513,0,Spam Messages,20250114015442,llama3.3,1.0
36512,0,Spam Messages,20250114015441,llama3.3,1.0
36511,0,Spam Messages,20250114015440,llama3.3,1.0
36510,0,Spam Messages,20250114015439,llama3.3,1.0
36509,0,Spam Messages,20250114015438,llama3.3,1.0
36508,0,Spam Messages,20250114015437,llama3.3,1.0
36507,0,Spam Messages,20250114015436,llama3.3,1.0
36506,0,Spam Messages,20250114015435,llama3.3,1.0
36505,0,Spam Messages,20250114015434,llama3.3,1.0
36504,0,Spam Messages,20250114015433,llama3.3,1.0
36503,0,Spam Messages,20250114015432,llama3.3,1.0
36502,0,Spam Messages,20250114015431,llama3.3,1.0
36501,0,Spam Messages,20250114015430,llama3.3,1.0
36500,0,Spam Messages,20250114015429,llama3.3,1.0
36499,0,Spam Messages,20250114015428,llama3.3,1.0
36498,0,Spam Messages,20250114015427,llama3.3,1.0
36497,0,Spam Messages,20250114015426,llama3.3,1.0
36496,0,Spam Messages,20250114015425,llama3.3,1.0
36495,0,Spam Messages,20250114015424,llama3.3,1.0
36494,0,Spam Messages,20250114015423,llama3.3,1.0
36493,0,Spam Messages,20250114015422,llama3.3,1.0
36492,0,Spam Messages,20250114015421,llama3.3,1.0
36491,0,Spam Messages,20250114015420,llama3.3,1.0
36490,0,Spam Messages,20250114015419,llama3.3,1.0
36489,0,Spam Messages,20250114015418,llama3.3,1.0
36488,0,Spam Messages,20250114015417,llama3.3,1.0
36487,0,Spam Messages,20250114015416,llama3.3,1.0
36486,0,Spam Messages,20250114015415,llama3.3,1.0
36485,0,Spam Messages,20250114015414,llama3.3,1.0
36484,0,Spam Messages,20250114015413,llama3.3,1.0
36483,0,Spam Messages,20250114015412,llama3.3,1.0
36482,0,Spam Messages,20250114015411,llama3.3,1.0
36481,0,Spam Messages,20250114015410,llama3.3,1.0
36480,0,Spam Messages,20250114015409,llama3.3,1.0
36479,0,Spam Messages,20250114015408,llama3.3,1.0
36478,0,Spam Messages,20250114015407,llama3.3,1.0
36477,0,Spam Messages,20250114015406,llama3.3,1.0
36476,0,Spam Messages,20250114015405,llama3.3,1.0
36475,0,Spam Messages,20250114015404,llama3.3,1.0
36474,0,Spam Messages,20250114015403,llama3.3,1.0
36473,0,Spam Messages,20250114015402,llama3.3,1.0
36472,0,Spam Messages,20250114015401,llama3.3,1.0
36471,0,Spam Messages,20250114015400,llama3.3,1.0
36470,0,Spam Messages,20250114015359,llama3.3,1.0
36469,0,Spam Messages,20250114015358,llama3.3,1.0
36468,0,Spam Messages,20250114015357,llama3.3,1.0
36467,0,Spam Messages,20250114015356,llama3.3,1.0
36466,0,Spam Messages,20250114015355,llama3.3,1.0
36465,0,Spam Messages,20250114015354,llama3.3,1.0
36464,0,Spam Messages,20250114015353,llama3.3,1.0
36463,0,Spam Messages,20250114015352,llama3.3,1.0
36462,0,Spam Messages,20250114015351,llama3.3,1.0
36461,0,Spam Messages,20250114015350,llama3.3,1.0
36460,0,Spam Messages,20250114015349,llama3.3,1.0
36459,0,Spam Messages,20250114015348,llama3.3,1.0
36458,0,Spam Messages,20250114015347,llama3.3,1.0
36457,0,Spam Messages,20250114015346,llama3.3,1.0
36456,0,Spam Messages,20250114015345,llama3.3,1.0
36455,0,Spam Messages,20250114015344,llama3.3,1.0
36454,0,Spam Messages,20250114015343,llama3.3,1.0
36453,0,Spam Messages,20250114015342,llama3.3,1.0
36452,0,Spam Messages,20250114015341,llama3.3,1.0
36451,0,Spam Messages,20250114015340,llama3.3,1.0
36450,0,Spam Messages,20250114015339,llama3.3,1.0
36449,0,Spam Messages,20250114015338,llama3.3,1.0
36448,0,Spam Messages,20250114015337,llama3.3,1.0
36447,0,Spam Messages,20250114015336,llama3.3,1.0
36446,0,Spam Messages,20250114015335,llama3.3,1.0
36445,0,Spam Messages,20250114015334,llama3.3,1.0
36444,0,Spam Messages,20250114015333,llama3.3,1.0
36443,0,Spam Messages,20250114015332,llama3.3,1.0
36442,0,Spam Messages,20250114015331,llama3.3,1.0
36441,0,Spam Messages,20250114015330,llama3.3,1.0
