message_id,conversation_id,topic,timestamp,labeler_id,confidence
36564,0,Unknown,20250114002515,llama3.3:70b,1.0
36565,2,PAWS Token Giveaway,20250114003010,llama3.3:70b,1.0
36566,2,PAWS Token Giveaway,20250114003105,llama3.3:70b,1.0
36567,3,$PAWS Discussion,20250114004000,llama3.3:70b,1.0
36568,4,Cere Network,20250114004547,llama3.3:70b,1.0
36569,2,PAWS Token Giveaway,20250114005040,llama3.3:70b,1.0
36570,5,Token Burning,20250114005526,llama3.3:70b,1.0
36571,2,PAWS Token Giveaway,20250114010015,llama3.3:70b,1.0
36572,6,XTONXWHEELROBOT,20250114010501,llama3.3:70b,1.0
36573,2,PAWS Token Giveaway,20250114011010,llama3.3:70b,1.0
36574,2,PAWS Token Giveaway,20250114011505,llama3.3:70b,1.0
36575,7,Spam,20250114012000,llama3.3:70b,1.0
36576,7,Spam,20250114012547,llama3.3:70b,1.0
36577,2,PAWS Token Giveaway,20250114013040,llama3.3:70b,1.0
36578,8,$CEREU Discussion,20250114013526,llama3.3:70b,1.0
36579,9,Unknown,20250114014010,llama3.3:70b,1.0
36570,10,Tokenomics,20250114013938,llama3.3:70b,1.0
36578,0,Coin Promotion,20250114051733,llama3.3:70b,1.0
36580,0,Bot Advertisement,20250114064659,llama3.3:70b,1.0
36582,1,Market Volatility Analysis,20250114092102,llama3.3:70b,1.0
36583,1,Market Sentiment,20250114093558,llama3.3:70b,1.0
36587,2,Project Updates,20250114094036,llama3.3:70b,1.0
36588,2,Altcoin Investment Strategies,20250114094206,llama3.3:70b,1.0
36589,2,Partnership Announcement,20250114100349,llama3.3:70b,1.0
36590,3,Community Interaction,20250114101101,llama3.3:70b,1.0
36592,4,Market Trends Analysis,20250114112840,llama3.3:70b,1.0
36597,5,DeFi Development Services,20250114132545,llama3.3:70b,1.0
36599,1,Market Volatility,20250114133347,llama3.3:70b,1.0
36600,1,Market Volatility,20250114135303,llama3.3:70b,1.0
36607,2,Web3 Global Media,20250114164755,llama3.3:70b,1.0
36608,2,Web3 Global Media,20250114165032,llama3.3:70b,1.0
36605,0,Coin Distribution,20250114153000,llama3.3:70b,1.0
36610,0,Coin Distribution,20250114170811,llama3.3:70b,1.0
