message_id,conversation_id,topic,timestamp,labeler_id,confidence
36564,0,Spam Messages,20250114010616,llama3.3:70b-instruct-q2_K,1.0
36566,0,Spam Messages,20250114011741,llama3.3:70b-instruct-q2_K,1.0
36568,0,Spam Messages,20250114015542,llama3.3:70b-instruct-q2_K,1.0
36573,0,Spam Messages,20250114015542,llama3.3:70b-instruct-q2_K,1.0
36574,0,Spam Messages,20250114020549,llama3.3:70b-instruct-q2_K,1.0
36575,0,Spam Messages,20250114022238,llama3.3:70b-instruct-q2_K,1.0
36576,0,Spam Messages,20250114023026,llama3.3:70b-instruct-q2_K,1.0
36569,1,CEREAL DISCUSSION,20250228134639,llama3.3:70b-instruct-q2_K,1.0
36572,1,CEREAL DISCUSSION,20250114015510,llama3.3:70b-instruct-q2_K,1.0
36571,2,XWHEEL ROBOT,20250228134639,llama3.3:70b-instruct-q2_K,1.0
36570,3,GENUINE DISCUSSION,20250228134639,llama3.3:70b-instruct-q2_K,1.0
36578,0,Spam Messages,20250114051733,llama3.3:70b-instruct-q2_K,1.0
36580,0,Spam Messages,20250114064659,llama3.3:70b-instruct-q2_K,1.0
36582,1,CERE Token Supply Analysis,20250114092102,llama3.3:70b-instruct-q2_K,1.0
36583,1,CERE Token Supply Analysis,20250114093558,llama3.3:70b-instruct-q2_K,1.0
36587,1,CERE Token Supply Analysis,20250114094036,llama3.3:70b-instruct-q2_K,1.0
36588,1,CERE Token Supply Analysis,20250114094206,llama3.3:70b-instruct-q2_K,1.0
36589,1,CERE Token Supply Analysis,20250114100349,llama3.3:70b-instruct-q2_K,1.0
36590,1,CERE Token Supply Analysis,20250114101101,llama3.3:70b-instruct-q2_K,1.0
36592,1,Greeting,20250114112840,llama3.3:70b-instruct-q2_K,1.0
36597,2,DeFi Development,20250114132545,llama3.3:70b-instruct-q2_K,1.0
36599,0,Spam Messages,20250114133347,llama3.3:70b-instruct-q2_K,1.0
36600,1,CERE Token Supply Analysis,20250114133527,llama3.3:70b-instruct-q2_K,1.0
36602,1,CERE Token Supply Analysis,20250114142650,llama3.3:70b-instruct-q2_K,1.0
36603,1,CERE Token Supply Analysis,20250114143019,llama3.3:70b-instruct-q2_K,1.0
36605,0,Spam Messages,20250114155511,llama3.3:70b-instruct-q2_K,1.0
36607,2,Web3 Global Media Event Invitation,20250114164755,llama3.3:70b-instruct-q2_K,1.0
36608,2,Web3 Global Media Event Invitation,20250114165032,llama3.3:70b-instruct-q2_K,1.0
36610,0,Spam Messages,20250114170811,llama3.3:70b-instruct-q2_K,1.0
36611,3,Bridge Update Discussion,20250114181900,llama3.3:70b-instruct-q2_K,1.0
36613,3,Bridge Update Discussion,20250114182725,llama3.3:70b-instruct-q2_K,1.0
36615,1,CERE Token Supply Analysis,20250114183454,llama3.3:70b-instruct-q2_K,1.0
36616,2,GasFees Reimbursement,20250114184909,llama3.3:70b-instruct-q2_K,1.0
36617,2,GasFees Reimbursement,20250114184913,llama3.3:70b-instruct-q2_K,1.0
36618,2,GasFees Reimbursement,20250114184915,llama3.3:70b-instruct-q2_K,1.0
36619,2,GasFees Reimbursement,20250114184917,llama3.3:70b-instruct-q2_K,1.0
36620,3,Cere Network x Hyperbridge Integration Update,20250114185127,llama3.3:70b-instruct-q2_K,1.0
36621,3,CERE Roadmap and Announcements,20250114185343,llama3.3:70b-instruct-q2_K,1.0
36623,0,Spam Messages,20250114185657,llama3.3:70b-instruct-q2_K,1.0
